序号,题目名称,tags,difficulty
36,Tree Node,join_self;where_basic,Hard
37,Triangle Judgement,numeric_func;where_basic,Easy
38,Shortest Distance in a Plane,numeric_func,Easy
39,Shortest Distance in a Line,numeric_func,Easy
40,Second Degree Follower,subquery_table;group_by;aggregate_func,Hard
41,Average Salary: Departments VS Company,subquery_scalar;group_by;aggregate_func,Medium
42,Students Report By Geography,subquery_table,Hard
43,Biggest Single Number,join_inner;group_by;aggregate_func,Medium
44,Not Boring Movies,join_inner;where_basic,Medium
45,Exchange Seats,join_self,Hard
46,Swap Sex of Employees,dml_update;where_basic,Easy
47,Customers Who Bought All Products,having;subquery_column;subquery_in,Hard
48,Actors and Directors Who Cooperated At Least Three Times,join_inner;where_basic,Medium
49,Product Sales Analysis I,join_inner;group_by;aggregate_func,Medium
50,Product Sales Analysis II,join_inner;group_by;aggregate_func,Medium
51,Product Sales Analysis III,join_inner;group_by;aggregate_func,Medium
52,Project Employees I,join_inner;group_by;aggregate_func,Medium
53,Project Employees II,join_inner;group_by;aggregate_func,Medium
54,Project Employees III,join_inner;group_by;aggregate_func,Medium
55,Sales Analysis I,join_inner;where_basic,Medium
56,Sales Analysis II,join_inner;where_basic,Medium
57,Sales Analysis III,join_inner;where_basic,Medium
58,Game Play Analysis V,group_by;aggregate_func;cast_func,Medium
59,Unpopular Books,join_outer;group_by;aggregate_func,Medium
60,New Users Daily Count,group_by;aggregate_func;cast_func,Medium
61,Highest Grade For Each Student,window_func;group_by;aggregate_func,Hard
62,Reported Posts,group_by;aggregate_func,Medium
63,Active Businesses,group_by;aggregate_func,Medium
64,User Purchase Platform,group_by;aggregate_func,Medium
65,Reported Posts II,group_by;aggregate_func;where_basic,Medium
66,User Activity for the Past 30 Days I,group_by;aggregate_func;cast_func,Medium
67,User Activity for the Past 30 Days II,group_by;aggregate_func;cast_func,Medium
68,Article Views I,where_basic,Easy
69,Article Views II,where_basic,Easy
70,Market Analysis I,join_inner;group_by;aggregate_func,Medium
71,Market Analysis II,join_inner;group_by;aggregate_func,Medium
72,Product Price at a Given Date,group_by;aggregate_func;cast_func,Medium
73,Immediate Food Delivery I,join_inner;group_by;aggregate_func,Medium
74,Immediate Food Delivery II,join_inner;group_by;aggregate_func,Medium
75,Reformat Department Table,string_func,Easy
76,Monthly Transactions I,join_inner;group_by;aggregate_func,Medium
77,Tournament Winners,join_inner;group_by;aggregate_func,Medium
78,Last Person to Fit in the Bus,window_func;cast_func,Hard
79,Monthly Transactions II,join_inner;group_by;aggregate_func,Medium
80,Queries Quality and Percentage,join_inner;group_by;aggregate_func,Medium
81,Team Scores in Football Tournament,join_inner;group_by;aggregate_func,Medium
82,Report Contiguous Dates,subquery_table;group_by;aggregate_func,Hard
83,Number of Comments per Post,group_by;aggregate_func;where_basic,Medium
84,Average Selling Price,join_inner;group_by;aggregate_func,Medium
85,Page Recommendations,join_inner;group_by;aggregate_func,Medium
86,All People Report to the Given Manager,subquery_table;join_self;group_by,Hard
87,Students and Examinations,join_inner;group_by;aggregate_func,Medium
88,Find the Start and End Number of Continuous Ranges,window_func;cast_func,Hard
89,Weather Type in Each Country,join_inner;group_by;aggregate_func,Medium
90,Find the Team Size,group_by;aggregate_func;where_basic,Medium
91,Running Total for Different Genders,window_func;group_by;aggregate_func,Hard
92,Restaurant Growth,join_inner;group_by;aggregate_func,Medium
93,Ads Performance,join_inner;group_by;aggregate_func,Medium
94,List the Products Ordered in a Period,join_inner;group_by;aggregate_func,Medium
95,Number of Transactions per Visit,group_by;aggregate_func,Medium
96,Movie Rating,join_inner;group_by;aggregate_func,Medium
97,Students With Invalid Departments,join_outer,Medium
98,Activity Participants,join_inner;group_by;aggregate_func,Medium
99,Number of Trusted Contacts of a Customer,join_inner;group_by;aggregate_func,Medium
100,Get the Second Most Recent Activity,window_func;subquery_table;group_by,Hard
101,Replace Employee ID With The Unique Identifier,join_inner;where_basic,Medium
102,Total Sales Amount by Year,join_inner;group_by;aggregate_func,Medium
103,Capital Gain/Loss,join_inner;group_by;aggregate_func,Medium
104,Customers Who Bought Products A and B but Not C,having;subquery_column;subquery_in,Hard
105,Top Travellers,group_by;aggregate_func;where_basic,Medium
106,Find the Quiet Students in All Exams,subquery_table;join_self;group_by,Hard
107,NPV Queries,join_inner;numeric_func,Medium
108,Create a Session Bar Chart,dml_update;dml_insert,Easy
109,Evaluate Boolean Expression,group_by;aggregate_func,Medium
110,Apples & Oranges,join_inner;cast_func,Medium
111,Active Users,group_by;aggregate_func;cast_func,Medium
112,Rectangles Area,group_by;aggregate_func;numeric_func,Medium
113,Calculate Salaries,group_by;aggregate_func,Medium
114,Sales by Day of the Week,group_by;aggregate_func;cast_func,Medium
115,Group Sold Products By The Date,group_by;aggregate_func;string_func,Medium
116,Friendly Movies Streamed Last Month,cast_func,Medium
117,Countries You Can Safely Invest In,select_basic,Easy
118,Customer Order Frequency,join_inner;group_by;aggregate_func,Medium
119,Find Users With Valid E-Mails,string_func,Easy
120,Patients With a Condition,string_func,Easy
121,The Most Recent Three Orders,window_func;group_by;aggregate_func,Hard
122,Fix Product Name Format,string_func,Easy
123,The Most Recent Orders for Each Product,window_func;group_by;aggregate_func,Hard
124,Bank Account Summary,join_inner;cast_func,Medium
125,Unique Orders and Customers Per Month,group_by;aggregate_func;cast_func,Medium
126,Warehouse Manager,join_inner;group_by;aggregate_func,Medium
127,Customer Who Visited but Did Not Make Any Transactions,join_outer;where_basic,Medium
128,Bank Account Summary II,join_inner;group_by;aggregate_func,Medium
129,The Most Frequently Ordered Products for Each Customer,having;group_by;aggregate_func,Hard
130,Sellers With No Sales,subquery_column;subquery_in;join_outer,Hard
131,Find the Missing IDs,group_by;aggregate_func;cast_func,Medium
132,All Valid Triplets That Can Represent a Country,select_basic,Easy
133,Percentage of Users Attended a Contest,subquery_scalar;join_inner;group_by,Medium
134,Hopper Company Queries I,join_inner;cast_func,Medium
135,Hopper Company Queries II,join_inner;cast_func,Medium
136,Hopper Company Queries III,join_inner;cast_func,Medium
137,Average Time of Process per Machine,join_inner;group_by;aggregate_func,Medium
138,Fix Names in a Table,string_func,Easy
139,Product's Worth Over Invoices,select_basic,Easy
140,Invalid Tweets,string_func;where_basic,Easy
141,Daily Leads and Partners,join_inner;group_by;aggregate_func,Medium
142,Number of Calls Between Two Persons,join_inner;group_by;aggregate_func,Medium
143,Biggest Window Between Visits,group_by;aggregate_func;cast_func,Medium
144,Count Apples and Oranges,join_inner;group_by;aggregate_func,Medium
145,Find Followers Count,join_inner;group_by;aggregate_func,Medium
146,The Number of Employees Which Report to Each Employee,join_inner;group_by;aggregate_func,Medium
147,Find Total Time Spent by Each Employee,join_inner;group_by;aggregate_func,Medium
148,Leetflex Banned Accounts,join_inner;group_by;aggregate_func,Medium
149,Recyclable and Low Fat Products,where_basic,Easy
150,Find the Subtasks That Did Not Execute,subquery_column;subquery_in;join_outer,Hard
151,Product's Price for Each Store,group_by;aggregate_func,Medium
152,Grand Slam Titles,join_inner;group_by;aggregate_func,Medium
153,Primary Department for Each Employee,join_inner;group_by;aggregate_func,Medium
154,Rearrange Products Table,where_basic,Easy
155,Ad-Free Sessions,join_outer;group_by;aggregate_func,Medium
156,Find Interview Candidates,join_inner;group_by;aggregate_func,Medium
157,Find Customers With Positive Revenue this Year,subquery_column;subquery_in;join_outer,Hard
158,Maximum Transaction Each Day,window_func;group_by;aggregate_func,Hard
159,League Statistics,join_inner;group_by;aggregate_func,Medium
160,Suspicious Bank Accounts,join_inner;group_by;aggregate_func,Medium
161,Convert Date Format,cast_func,Medium
162,Orders With Maximum Quantity Above Average,having;join_inner;group_by,Hard
163,Calculate Special Bonus,numeric_func;where_basic,Easy
164,Group Employees of the Same Salary,join_inner;group_by;aggregate_func,Medium
165,The Latest Login in 2020,join_inner;cast_func;where_basic,Medium
166,Page Recommendations II,join_inner;group_by;aggregate_func,Medium
167,Count Salary Categories,having;group_by;aggregate_func,Hard
168,Leetcodify Friends Recommendations,select_basic,Easy
169,Leetcodify Similar Friends,select_basic,Easy
170,Confirmation Rate,subquery_scalar;group_by;aggregate_func,Medium
171,Users That Actively Request Confirmation Messages,join_inner;group_by;aggregate_func,Medium
172,Strong Friendship,join_self;group_by;aggregate_func,Hard
173,All the Pairs With the Maximum Number of Common Followers,having;group_by;aggregate_func,Hard
174,Employees With Missing Information,join_inner;group_by;aggregate_func,Medium
175,First and Last Call On the Same Day,window_func;cast_func,Hard
176,Employees Whose Manager Left the Company,subquery_column;subquery_in;join_self,Hard
177,Find Cutoff Score for Each School,group_by;aggregate_func,Medium
178,Count the Number of Experiments,group_by;aggregate_func,Medium
179,The Number of Seniors and Juniors to Join the Company,subquery_table;join_inner;group_by,Hard
180,The Number of Seniors and Juniors to Join the Company II,subquery_table;join_inner;group_by,Hard
181,Number of Accounts That Did Not Stream,subquery_column;subquery_in;join_outer,Hard
182,Low-Quality Problems,group_by;aggregate_func,Medium
183,Accepted Candidates From the Interviews,subquery_scalar;group_by;aggregate_func,Medium
184,The Category of Each Member in the Store,join_inner;group_by;aggregate_func,Medium
185,Account Balance,group_by;aggregate_func,Medium
186,The Winner University,join_inner;group_by;aggregate_func,Medium
187,The Number of Rich Customers,join_inner;group_by;aggregate_func,Medium
188,Drop Type 1 Orders for Customers With Type 0 Orders,join_inner;group_by;aggregate_func,Medium
189,The Airport With the Most Traffic,join_inner;group_by;aggregate_func,Medium
190,Build the Equation,string_func,Easy
191,The Number of Passengers in Each Bus I,subquery_table;join_inner;group_by,Hard
192,The Number of Passengers in Each Bus II,subquery_table;join_inner;group_by,Hard
193,Order Two Columns Independently,group_by;aggregate_func,Medium
194,Longest Winning Streak,window_func;group_by;aggregate_func,Hard
195,The Change in Global Rankings,window_func;group_by;aggregate_func,Hard
196,Finding the Topic of Each Post,select_basic,Easy
197,The Number of Users That Are Eligible for Discount,join_inner;group_by;aggregate_func,Medium
198,Users With Two Purchases Within Seven Days,join_inner;group_by;aggregate_func,Medium
199,The Users That Are Eligible for Discount,join_inner,Medium
200,Number of Times a Driver Was a Passenger,join_inner;group_by;aggregate_func,Medium
201,Dynamic Pivoting of a Table,join_inner;group_by;aggregate_func,Medium
202,Dynamic Unpivoting of a Table,join_inner;group_by;aggregate_func,Medium
203,Products With Three or More Orders in Two Consecutive Years,having;join_inner;group_by,Hard
204,Tasks Count in the Weekend,join_inner;group_by;aggregate_func,Medium
205,Arrange Table by Gender,join_inner;group_by;aggregate_func,Medium
206,The First Day of the Maximum Recorded Degree in Each City,join_inner;group_by;aggregate_func,Medium
207,Product Sales Analysis IV,join_inner;group_by;aggregate_func,Medium
208,Product Sales Analysis V,join_inner;group_by;aggregate_func,Medium
209,All the Matches of the League,join_inner,Medium
210,Compute the Rank as a Percentage,window_func;group_by;aggregate_func,Hard
211,Number of Unique Subjects Taught by Each Teacher,join_inner;group_by;aggregate_func,Medium
212,Generate the Invoice,join_inner;group_by;aggregate_func,Medium
213,Calculate the Influence of Each Salesperson,join_inner;group_by;aggregate_func,Medium
214,Sort the Olympic Table,join_inner;group_by;aggregate_func,Medium
215,Change Null Values in a Table to the Previous Value,join_inner;group_by;aggregate_func,Medium
216,Employees With Deductions,join_inner;group_by;aggregate_func,Medium
217,Customers With Strictly Increasing Purchases,join_inner;group_by;aggregate_func,Medium
218,Form a Chemical Bond,join_inner,Medium
219,Merge Overlapping Events in the Same Hall,join_inner;group_by;aggregate_func,Medium
220,Concatenate the Name and the Profession,string_func,Easy
221,Find Latest Salaries,join_inner;group_by;aggregate_func,Medium
222,Count Artist Occurrences On Spotify Ranking List,join_inner;group_by;aggregate_func,Medium
223,Immediate Food Delivery III,join_inner;group_by;aggregate_func,Medium
224,Bikes Last Time Used ,join_inner;cast_func,Medium
225,Find Active Users,join_inner;group_by;aggregate_func,Medium
226,Consecutive Transactions with Increasing Amounts,window_func;join_inner;group_by,Hard
227,Popularity Percentage,join_inner;group_by;aggregate_func,Medium
228,Count Occurrences in Text,join_inner;group_by;aggregate_func,Medium
229,Customers with Maximum Number of Transactions on Consecutive Days,having;window_func;join_inner,Hard
230,Flight Occupancy and Waitlist Analysis,join_inner;group_by;aggregate_func,Medium
231,Total Traveled Distance,join_inner;group_by;aggregate_func,Medium
232,Highest Salaries Difference,window_func;group_by;aggregate_func,Hard
233,Rolling Average Steps,window_func;join_inner;group_by,Hard
234,Calculate Orders Within Each Interval,join_inner;group_by;aggregate_func,Medium
235,Market Analysis III,join_inner;group_by;aggregate_func,Medium
236,Symmetric Coordinates,join_self,Hard
237,Find Peak Calling Hours for Each City,window_func;join_inner;group_by,Hard
238,Calculate Compressed Mean,join_inner;group_by;aggregate_func,Medium
239,Find Third Transaction,window_func,Hard
240,Find Expensive Cities,join_inner;group_by;aggregate_func,Medium
241,Manager of the Largest Department,join_inner;group_by;aggregate_func,Medium
242,Class Performance,window_func;group_by;aggregate_func,Hard
243,Loan Types,join_inner;group_by;aggregate_func,Medium
244,Top Three Wineries ,window_func;subquery_table;group_by,Hard
245,Friday Purchases I,join_inner;group_by;aggregate_func,Medium
246,Friday Purchases II ,join_inner;group_by;aggregate_func,Medium
247,Viewers Turned Streamers,join_inner;group_by;aggregate_func,Medium
248,Pizza Toppings Cost Analysis,join_inner;group_by;aggregate_func,Medium
249,Find Candidates for Data Scientist Position,join_inner;group_by;aggregate_func,Medium
250,Maximize Items,join_inner;group_by;aggregate_func,Medium
251,Classifying Triangles by Lengths,join_inner;group_by;aggregate_func,Medium
252,Binary Tree Nodes,join_self;join_inner;where_basic,Hard
253,Top Percentile Fraud,window_func;group_by;aggregate_func,Hard
254,Snaps Analysis,window_func;group_by;aggregate_func,Hard
255,Employees Project Allocation,join_inner;group_by;aggregate_func,Medium
256,Friends With No Mutual Friends,join_self;join_inner,Hard
257,Find All Unique Email Domains,join_inner;group_by;aggregate_func,Medium
258,User Activities within Time Bounds,join_inner;group_by;aggregate_func,Medium
259,Calculate Trapping Rain Water,join_inner;group_by;aggregate_func,Medium
260,Find Trending Hashtags,window_func;join_inner;group_by,Hard
261,Find Bursty Behavior,window_func;join_inner;group_by,Hard
262,Find Trending Hashtags II ,window_func;subquery_table;join_inner,Hard
263,Friday Purchase III ,select_basic,Easy
264,Find Longest Calls,window_func;group_by;aggregate_func,Hard
265,Server Utilization Time,join_inner;group_by;aggregate_func,Medium
266,Consecutive Available Seats II,window_func;join_inner;group_by,Hard
267,Invalid Tweets II,string_func;where_basic,Easy
268,Employee Task Duration and Concurrent Tasks,join_inner;group_by;aggregate_func,Medium
269,Calculate Parking Fees and Duration,join_inner;group_by;aggregate_func,Medium
270,Second Day Verification,join_inner;cast_func,Medium
271,Find Top Scoring Students,window_func;group_by;aggregate_func,Hard
272,Find Top Scoring Students II,window_func;group_by;aggregate_func,Hard
273,Find Cities in Each State,join_inner;group_by;aggregate_func,Medium
274,Bitwise User Permissions Analysis,join_inner;group_by;aggregate_func,Medium
275,Year on Year Growth Rate,window_func;join_inner;group_by,Hard
276,Odd and Even Transactions,window_func;join_inner;group_by,Hard
277,Customer Purchasing Behavior Analysis,join_inner;group_by;aggregate_func,Medium
278,CEO Subordinate Hierarchy,subquery_table;join_self;group_by,Hard
279,Premier League Table Ranking,window_func;join_inner;group_by,Hard
280,Premier League Table Ranking II,window_func;join_inner;group_by,Hard
281,Find Overlapping Shifts,join_self;group_by;aggregate_func,Hard
282,Find Overlapping Shifts II,join_self;group_by;aggregate_func,Hard
283,Find Candidates for Data Scientist Position II,join_inner;group_by;aggregate_func,Medium
284,Calculate Product Final Price,join_inner;group_by;aggregate_func,Medium
285,Find Top Performing Driver,window_func;group_by;aggregate_func,Hard
286,Premier League Table Ranking III,window_func;join_inner;group_by,Hard
287,Find Cities in Each State II,join_inner;group_by;aggregate_func,Medium
288,Second Highest Salary II,window_func;subquery_scalar,Hard
289,Books with NULL Ratings,subquery_column;subquery_in;join_outer,Hard
290,First Letter Capitalization,join_inner;group_by;aggregate_func,Medium
291,First Letter Capitalization II,join_inner;group_by;aggregate_func,Medium
292,Team Dominance by Pass Success,join_inner;group_by;aggregate_func,Medium
293,Longest Team Pass Streak,window_func;join_inner,Hard
294,Find Circular Gift Exchange Chains,join_self;group_by;aggregate_func,Hard
295,Find Products with Three Consecutive Digits ,join_inner;group_by;aggregate_func,Medium
296,Find Students Who Improved,join_inner;group_by;aggregate_func,Medium
297,Find Valid Emails,join_inner;string_func,Medium
298,Find Invalid IP Addresses,join_inner;group_by;aggregate_func,Medium
299,Find Products with Valid Serial Numbers,join_inner;group_by;aggregate_func,Medium
300,DNA Pattern Recognition ,join_inner;group_by;aggregate_func,Medium
301,Analyze Organization Hierarchy,subquery_table;join_self;group_by,Hard
302,Analyze Subscription Conversion ,join_inner;group_by;aggregate_func,Medium
303,Find Product Recommendation Pairs,join_inner;group_by;aggregate_func,Medium
304,Find Category Recommendation Pairs,join_inner,Medium
305,Seasonal Sales Analysis,join_inner;group_by;aggregate_func,Medium
306,Find Books with No Available Copies,subquery_column;subquery_in;join_outer,Hard
307,Find Consistently Improving Employees,window_func;join_inner;group_by,Hard
308,Find COVID Recovery Patients,join_inner;group_by;aggregate_func,Medium
309,Find Drivers with Improved Fuel Efficiency,window_func;join_inner;group_by,Hard
310,Find Overbooked Employees,window_func;join_inner;group_by,Hard
